locationid,countyname,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,year,datasource
13121009406,Fulton,8.3,7.4,9.4,2380,2023,BRFSS
13121009407,Fulton,9.1,8.0,10.3,964,2023,BRFSS
13121009408,Fulton,8.9,7.9,10.0,1861,2023,BRFSS
13121009409,Fulton,8.3,7.4,9.4,1639,2023,BRFSS
13121009410,Fulton,8.6,7.7,9.7,1883,2023,BRFSS
13121009411,Fulton,8.8,7.8,9.9,2657,2023,BRFSS
13121009501,Fulton,8.0,7.1,9.1,4580,2023,BRFSS
13121009503,Fulton,9.6,8.5,10.8,2010,2023,BRFSS
13121009504,Fulton,8.9,7.9,10.1,3330,2023,BRFSS
13121009601,Fulton,8.5,7.6,9.6,2979,2023,BRFSS
13121009604,Fulton,8.6,7.7,9.8,4112,2023,BRFSS
13121009605,Fulton,8.8,7.8,10.0,2667,2023,BRFSS
13121009606,Fulton,8.4,7.4,9.5,1511,2023,BRFSS
13121009607,Fulton,8.0,7.1,9.1,4709,2023,BRFSS
13121009700,Fulton,8.5,7.5,9.5,4580,2023,BRFSS
13121009802,Fulton,8.2,7.2,9.2,4154,2023,BRFSS
13121009803,Fulton,8.6,7.6,9.7,3062,2023,BRFSS
13121009804,Fulton,8.0,7.1,9.0,2514,2023,BRFSS
13121009900,Fulton,8.5,7.5,9.5,5509,2023,BRFSS
13121010003,Fulton,8.1,7.2,9.2,3963,2023,BRFSS
13121010004,Fulton,8.7,7.7,9.8,1712,2023,BRFSS
13121010005,Fulton,8.1,7.2,9.1,3728,2023,BRFSS
13121010006,Fulton,8.7,7.7,9.8,4688,2023,BRFSS
13121010007,Fulton,8.1,7.1,9.1,1914,2023,BRFSS
13121010106,Fulton,9.0,8.0,10.2,4280,2023,BRFSS
13121010107,Fulton,8.1,7.1,9.2,1859,2023,BRFSS
13121010108,Fulton,8.2,7.3,9.3,3935,2023,BRFSS
13121010115,Fulton,8.3,7.3,9.3,2797,2023,BRFSS
13121010117,Fulton,9.0,8.0,10.2,3812,2023,BRFSS
13121010120,Fulton,9.2,8.1,10.3,2492,2023,BRFSS
13121010121,Fulton,8.2,7.3,9.3,2518,2023,BRFSS
13121010124,Fulton,10.0,8.9,11.4,1726,2023,BRFSS
13121010125,Fulton,9.6,8.5,10.7,3251,2023,BRFSS
13121010126,Fulton,8.6,7.7,9.7,2681,2023,BRFSS
13121010127,Fulton,8.2,7.3,9.3,2557,2023,BRFSS
13121010128,Fulton,8.2,7.2,9.2,1501,2023,BRFSS
13121010129,Fulton,8.5,7.6,9.6,4590,2023,BRFSS
13121010130,Fulton,7.0,6.2,8.0,4524,2023,BRFSS
13121010131,Fulton,7.7,6.8,8.7,2354,2023,BRFSS
13121010132,Fulton,8.4,7.4,9.4,3301,2023,BRFSS
13121010133,Fulton,8.5,7.5,9.6,5923,2023,BRFSS
13121010134,Fulton,9.0,8.0,10.2,2397,2023,BRFSS
13121010135,Fulton,9.2,8.2,10.5,2566,2023,BRFSS
13121010136,Fulton,8.5,7.5,9.7,3422,2023,BRFSS
13121010137,Fulton,8.6,7.6,9.7,3464,2023,BRFSS
13121010204,Fulton,8.2,7.2,9.2,5113,2023,BRFSS
13121010211,Fulton,8.3,7.4,9.4,3373,2023,BRFSS
13121010212,Fulton,8.3,7.3,9.3,5782,2023,BRFSS
13121010213,Fulton,9.1,8.1,10.2,1113,2023,BRFSS
13121010214,Fulton,9.7,8.6,10.9,1938,2023,BRFSS
13121010215,Fulton,8.7,7.7,9.8,1869,2023,BRFSS
13121010216,Fulton,9.1,8.0,10.2,3577,2023,BRFSS
13121010217,Fulton,8.6,7.6,9.6,2422,2023,BRFSS
13121010218,Fulton,9.0,8.0,10.2,2010,2023,BRFSS
13121010219,Fulton,9.4,8.2,10.6,2443,2023,BRFSS
13121010220,Fulton,8.4,7.4,9.4,4717,2023,BRFSS
13121010221,Fulton,8.8,7.8,9.9,2154,2023,BRFSS
13121010222,Fulton,7.9,6.9,8.9,2671,2023,BRFSS
